TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.example.task_evaluated.task_18521,BRANCH;EXCEPTION,0.9,6,5
com.example.task_evaluated.task_6705,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_13582,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_14172,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_17241,BRANCH;EXCEPTION,0.7727272727272727,13,8
com.example.task_evaluated.task_23,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_3572,BRANCH;EXCEPTION,0.5714285714285714,9,3
com.example.task_evaluated.task_18188,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_9714,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_6644,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_9039,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_6330,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_17842,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_14723,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_1188,BRANCH;EXCEPTION,1.0,16,15
com.example.task_evaluated.task_14766,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_7498,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_17882,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_7721,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_3102,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_14915,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_13403,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_35339,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_18034,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_1745,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_12188,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_18193,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_21156,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_14498,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_7808,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_31704,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_8537,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_14585,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_14952,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_17267,BRANCH;EXCEPTION,0.6666666666666666,4,2
com.example.task_evaluated.task_11067,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_31661,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_14330,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_14561,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_31600,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_34860,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_13540,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_19132,BRANCH;EXCEPTION,0.7222222222222222,11,6
com.example.task_evaluated.task_1292,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_14780,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_26848,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_9981,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_17859,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_14135,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_9366,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_4448,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_14565,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_17938,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_11413,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_29007,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_12584,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_14115,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_15913,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_17263,BRANCH;EXCEPTION,1.0,18,18
com.example.task_evaluated.task_13390,BRANCH;EXCEPTION,1.0,4,4
